Name,Facility ID (CCN),Parent System/Company,PE Firm,Currently PE?,State,Address,City,Zip,County,Date last acquired by PE,Previous Owner Type,Hospital Ownership,Type,Region,Payment Designation,Hospital Overall Rating,HCRIS Acute,HCRIS Beds,POS Certified Beds,POS Total Beds,PSF Beds,Emergency Services,fips
Bayne-Jones ACH (Ft Polk),19050F,,,N,LA,1585 3rd Street Fort Polk,Fort Polk,71459,VERNON,,,Department of Defense,Acute Care - Department of Defense,South ,,Not Available,,,,,,Yes,22
BAYPOINTE BEHAVIORAL HEALTH,014014,,,N,AL,5800 SOUTHLAND DRIVE,MOBILE,36693,MOBILE,,,Voluntary non-profit - Other,Psychiatric,South ,,Not Available,,,60,60,,Yes,01
BAYSHORE MEDICAL CENTER,310112,,,N,NJ,727 N BEERS ST,HOLMDEL,7733,MONMOUTH,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,PPS,2,174,,225,225,161,Yes,34
BAYSTATE FRANKLIN MEDICAL CENTER,220016,,,N,MA,164 HIGH STREET,GREENFIELD,1301,FRANKLIN,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,PPS,4,89,,92,92,75,Yes,25
BAYSTATE MEDICAL CENTER,220077,,,N,MA,759 CHESTNUT STREET,SPRINGFIELD,1199,HAMPDEN,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,RRC,2,707,,716,716,670,Yes,25
BAYSTATE NOBLE HOSPITAL,220065,,,N,MA,115 WEST SILVER STREET,WESTFIELD,1085,HAMPDEN,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,PPS,2,82,,97,97,80,Yes,25
BAYSTATE WING HOSPITAL,220030,Baystate Health,,N,MA,40 WRIGHT STREET,PALMER,1069,HAMPDEN,,,Voluntary non-profit - Other,Acute Care Hospitals,Northeast ,PPS,4,40,,41,41,34,Yes,25
BCA STONECREST CENTER,234038,Acadia Healthcare,,N,MI,15000 GRATIOT AVENUE,DETROIT,48205,WAYNE,,,Proprietary,Psychiatric,Midwest ,,Not Available,,182,162,162,,No,26
BEACHAM MEMORIAL HOSPITAL,250049,Freedom Healtcare,,N,MS,205 N CHERRY STREET / PO BOX 351,MAGNOLIA,39652,PIKE,,,Proprietary,Acute Care Hospitals,South ,MDH,Not Available,17,,37,37,17,No,28
BEACON HAVEN,241991,,,N,MN,1200 LONG LAKE ROAD,NEW BRIGHTON,55112,,,,,Religious non-med,Midwest ,,,,,6,8,,,27
BEAR LAKE MEMORIAL HOSPITAL,131316,,,N,ID,164 SOUTH FIFTH STREET,MONTPELIER,83254,BEAR LAKE,,,Government - Local,Critical Access Hospitals,West ,CAH,Not Available,21,,21,21,,Yes,16
BEAR RIVER VALLEY HOSPITAL,460039,,,N,UT,905 NORTH 1000 WEST,TREMONTON,84337,BOX ELDER,,,Voluntary non-profit - Private,Acute Care Hospitals,West ,PPS,Not Available,14,,16,16,17,Yes,49
BEAR VALLEY COMMUNITY HOSPITAL,051335,,,N,CA,41870 GARSTIN DR,BIG BEAR LAKE,92315,SAN BERNARDINO,,,Government - Hospital District or Authority,Critical Access Hospitals,West ,CAH,Not Available,9,,25,30,,Yes,06
BEARTOOTH BILLINGS CLINIC,271326,,,N,MT,2525 N BROADWAY,RED LODGE,59068,CARBON,,,Voluntary non-profit - Private,Critical Access Hospitals,West ,CAH,Not Available,10,,10,10,,Yes,30
"BEATRICE COMMUNITY HOSPITAL & HEALTH CENTER, INC",281364,,,N,NE,"P O BOX 278, 4800 HOSPITAL PARKWAY",BEATRICE,68310,GAGE,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,2,25,,25,25,,Yes,31
BEAUFORT COUNTY MEMORIAL HOSPITAL,420067,,,N,SC,955 RIBAUT RD,BEAUFORT,29902,BEAUFORT,,,Government - Local,Acute Care Hospitals,South ,SCH/RRC,3,167,,197,197,157,Yes,45
BEAUMONT - ROYAL OAK,23T130,,,N,MI,3601 W 13 MILE RD.,ROYAL OAK,,Oakland,,,Non-profit,Rehabilitation hospital,Midwest ,,,,,,,,,26
BEAUMONT BEHAVIORAL HEALTH,234045,,,N,MI,18001 ROTUNDA DR,DEARBORN,,WAYNE,,,Proprietary,Psychiatric,Midwest ,,Not Available,,,,,,No,26
BEAUMONT HEALTH SYSTEMS,23T269,,,N,MI,44201 DEQUINDRE RD,TROY,,Oakland,,,Non-profit,Rehabilitation hospital,Midwest ,,,,,,,,,26
BEAUMONT HOSPITAL - DEARBORN,230020,,,N,MI,18101 OAKWOOD BLVD,DEARBORN,48124,WAYNE,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,RRC,1,567,,623,623,557,Yes,26
BEAUMONT HOSPITAL - FARMINGTON HILLS,230151,,,N,MI,28050 GRAND RIVER AVENUE,FARMINGTON HILLS,48336,OAKLAND,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,RRC,2,226,,305,305,242,Yes,26
BEAUMONT HOSPITAL - GROSSE POINTE,230089,,,N,MI,468 CADIEUX RD,GROSSE POINTE,48230,WAYNE,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,PPS,4,276,,311,311,250,Yes,26
BEAUMONT HOSPITAL - TAYLOR,230270,,,N,MI,10000 TELEGRAPH ROAD,TAYLOR,48180,WAYNE,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,PPS,2,99,,163,163,92,Yes,26
BEAUMONT HOSPITAL - TRENTON,230176,,,N,MI,5450 FORT STREET,TRENTON,48183,WAYNE,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,PPS,3,193,,195,195,181,Yes,26
BEAUMONT HOSPITAL - WAYNE,230142,,,N,MI,33155 ANNAPOLIS AVE,WAYNE,48184,WAYNE,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,PPS,1,86,,259,259,99,Yes,26
BEAUMONT HOSPITAL ROYAL OAK,230130,,,N,MI,3601 W THIRTEEN MILE RD,ROYAL OAK,48073,OAKLAND,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,RRC,3,1025,,1031,1031,948,Yes,26
"BEAUMONT HOSPITAL, TROY",230269,,,N,MI,44201 DEQUINDRE ROAD,TROY,48085,OAKLAND,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,RRC,4,505,,254,254,477,Yes,26
BEAUMONT TAYLOR,23T270,,,N,MI,10000 TELEGRAPH RD,TAYLOR,,Wayne,,,Non-profit,Rehabilitation hospital,Midwest ,,,,,,,,,26
BEAUREGARD MEMORIAL HOSPITAL,190050,,,N,LA,600 S PINE STREET,DERIDDER,70634,BEAUREGARD,,,Government - Hospital District or Authority,Acute Care Hospitals,South ,PPS,4,49,,49,49,45,Yes,22
BEAVER COUNTY MEMORIAL HOSPITAL,371322,,,N,OK,212 EAST 8TH STREET,BEAVER,73932,BEAVER,,,Government - Hospital District or Authority,Critical Access Hospitals,South ,CAH,Not Available,24,,24,24,,Yes,40
BEAVER VALLEY HOSPITAL,461335,,,N,UT,1109 NORTH 100 WEST,BEAVER,84713,BEAVER,,,Government - Local,Critical Access Hospitals,West ,CAH,Not Available,25,,25,25,,Yes,49
BECKLEY ARH HOSPITAL,510062,,,N,WV,306 STANAFORD ROAD,BECKLEY,25801,RALEIGH,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,MDH/RRC,1,97,,173,173,89,Yes,54
BECKLEY VA MEDICAL CENTER,51002F,,,N,WV,200 VETERANS AVENUE,BECKLEY,,RALEIGH,,,Veterans Health Administration,Acute Care - Veterans Administration,South ,,4,,,,,,Yes,54
BEDFORD VA MEDICAL CENTER,22001F,,,N,MA,200 SPRINGS ROAD,BEDFORD,,MIDDLESEX,,,Veterans Health Administration,Acute Care - Veterans Administration,Northeast ,,Not Available,,,,,,No,25
BEEBE MEDICAL CENTER,080007,,,N,DE,424 SAVANNAH RD,LEWES,19958,SUSSEX,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,RRC,4,194,,155,155,171,Yes,10
"BEHAVIORAL HEALTH OF ROCKY TOP, LLC",444028,Summit View Health Services,,N,TN,210 NDUSTRIAL PARK DRIVE,ROCKY TOP,37769,ANDERSON,,,Proprietary,Psychiatric,South ,,Not Available,,18,18,18,,No,47
BEHAVIORAL HOSPITAL OF BELLAIRE,454107,Universal Health Services,,N,TX,"5314 DASHWOOD, SUITE 200",HOUSTON,77081,HARRIS,,,Proprietary,Psychiatric,South ,,Not Available,,122,124,124,,No,48
BELLEVUE HOSPITAL,360107,,,N,OH,1400 WEST MAIN STREET,BELLEVUE,44811,SANDUSKY,,,Voluntary non-profit - Other,Acute Care Hospitals,Midwest ,PPS,4,50,,70,70,45,No,39
BELLEVUE HOSPITAL CENTER,330204,,,N,NY,462 FIRST AVENUE,NEW YORK,10016,NEW YORK,,,Government - Local,Acute Care Hospitals,Northeast ,PPS,1,527,,912,912,493,Yes,36
BELLEVUE HOSPITAL CENTER,33T204,,,N,NY,462 1ST AVENUE,NEW YORK,,New York,,,Government,Rehabilitation hospital,Northeast ,,,,,,,,,36
"BELLEVUE MEDICAL CENTER, LLC",280132,Nebraska Medical Center,,N,NE,2500 BELLEVUE MEDICAL CENTER DR,BELLEVUE,68123,SARPY,,,Proprietary,Acute Care Hospitals,Midwest ,PPS,5,63,,91,91,54,Yes,31
BELLIN HEALTH OCONTO HOSPITAL,521356,,,N,WI,820 ARBUTUS AVE,OCONTO,54153,OCONTO,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,10,,4,4,,Yes,55
BELLIN MEMORIAL HOSPITAL,520049,,,N,WI,744 S WEBSTER AVE,GREEN BAY,54305,BROWN,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,PPS,5,161,,242,242,150,Yes,55
BELLIN MEMORIAL HOSPITAL,52T049,,,N,WI,744 S WEBSTER AVE,GREEN BAY,,Brown,,,Non-profit,Rehabilitation hospital,Midwest ,,,,,,,,,55
BELLIN PSYCHIATRIC CENTER,524038,,,N,WI,301 E ST JOSEPH ST,GREEN BAY,54301,BROWN,,,Voluntary non-profit - Church,Psychiatric,Midwest ,,Not Available,,80,80,80,,No,55
BELLVILLE ST JOSEPH HEALTH CENTER,450253,,,N,TX,44 N CUMMINGS ST,BELLVILLE,77418,AUSTIN,,,Government - Hospital District or Authority,Acute Care Hospitals,South ,PPS,Not Available,10,,32,32,31,Yes,48
BELMONT BEHAVIORAL HOSPITAL,394023,,,N,PA,4200 MONUMENT AVENUE,PHILADELPHIA,19131,PHILADELPHIA,,,Voluntary non-profit - Private,Psychiatric,Northeast ,,Not Available,,180,147,147,,No,42
BELMONT PINES HOSPITAL,364038,Universal Health Services,,N,OH,615 CHURCHILL-HUBBARD RD,YOUNGSTOWN,44505,MAHONING,,,Proprietary,Psychiatric,Midwest ,,Not Available,,53,53,53,,No,39
BELOIT HEALTH SYSTEM,520100,,,N,WI,1969 W HART RD,BELOIT,53511,ROCK,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,MDH,3,97,,256,256,94,Yes,55
BELTON REGIONAL MEDICAL CENTER,260214,,,N,MO,17065 S 71 HIGHWAY,BELTON,64012,CASS,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,PPS,2,71,,71,71,64,Yes,29
BENEDICTINE HOSPITAL,33T224,,,N,NY,105 MARYS AVENUE,KINGSTON,,Ulster,,,Non-profit,Rehabilitation hospital,Northeast ,,,,,,,,,36
BENEFIS HEALTH SYSTEM,27T012,,,N,MT,500 15TH AVE SO.,GREAT FALLS,,Cascade,,,Non-profit,Rehabilitation hospital,West ,,,,,,,,,30
BENEFIS HOSPITALS INC,270012,,,N,MT,1101 26TH ST S,GREAT FALLS,59405,CASCADE,,,Voluntary non-profit - Private,Acute Care Hospitals,West ,PPS,3,312,,398,398,312,Yes,30
BENEFIS TETON MEDICAL CENTER,271307,,,N,MT,915 4TH ST NW,CHOTEAU,59422,TETON,,,Voluntary non-profit - Private,Critical Access Hospitals,West ,CAH,Not Available,25,,25,25,,Yes,30
BENEWAH COMMUNITY HOSPITAL,131317,,,N,ID,229 SOUTH 7TH STREET,ST MARIES,83861,BENEWAH,,,Government - Local,Critical Access Hospitals,West ,CAH,Not Available,19,,19,19,,Yes,16
BENNETT COUNTY HOSPITAL AND NURSING HOME - CAH,431314,,,N,SD,102 MAJOR ALLEN   POST OFFICE BOX 70D,MARTIN,57551,BENNETT,,,Voluntary non-profit - Other,Critical Access Hospitals,Midwest ,CAH,Not Available,14,,14,14,,Yes,46
BENNETT REHABILITATION CENTER,15T088,,,N,IN,2015 JACKSON STREET,ANDERSON,,Madison,,,Non-profit,Rehabilitation hospital,Midwest ,,,,,,,,,18
BENSON HOSPITAL,031301,,,N,AZ,450 SOUTH OCOTILLO AVENUE,BENSON,85602,COCHISE,,,Voluntary non-profit - Private,Critical Access Hospitals,West ,CAH,Not Available,22,,22,22,,Yes,04
BERGEN NEW BRIDGE MEDICAL CENTER,310058,,,N,NJ,230 EAST RIDGEWOOD AVE,PARAMUS,7652,BERGEN,,,Government - Local,Acute Care Hospitals,Northeast ,PPS,1,127,,496,496,115,No,34
BERGER HOSPITAL,360170,,,N,OH,600 NORTH PICKAWAY STREET,CIRCLEVILLE,43113,PICKAWAY,,,Government - Local,Acute Care Hospitals,Midwest ,PPS,2,83,,94,94,73,Yes,39
BERKELEY MEDICAL CENTER,510008,,,N,WV,2500 HOSPITAL DRIVE,MARTINSBURG,25401,BERKELEY,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,PPS,2,159,,241,241,141,Yes,54
BERKSHIRE MEDICAL CENTER,220046,,,N,MA,725 NORTH STREET,PITTSFIELD,1201,BERKSHIRE,,,Voluntary non-profit - Other,Acute Care Hospitals,Northeast ,SCH/RRC,3,238,,319,319,197,Yes,25
BERKSHIRE MEDICAL CENTER,22T046,,,N,MA,THE CENTER FOR REHAB,PITTSFIELD,,Berkshire,,,Non-profit,Rehabilitation hospital,Northeast ,,,,,,,,,25
BERLIN MEMORIAL HOSPITAL,521355,,,N,WI,225 MEMORIAL DRIVE,BERLIN,54923,GREEN LAKE,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,5,25,,25,25,,Yes,55
BERTRAND CHAFFEE HOSPITAL,330111,,,N,NY,224 EAST MAIN STREET,SPRINGVILLE,14141,ERIE,,,Voluntary non-profit - Church,Acute Care Hospitals,Northeast ,PPS,Not Available,23,,49,49,23,Yes,36
BERWICK HOSPITAL CENTER,390072,Berwick Hospital Company,,N,PA,701 EAST 16TH STREET,BERWICK,18603,COLUMBIA,,,Proprietary,Acute Care Hospitals,Northeast ,PPS,5,76,,80,90,84,Yes,42
BERWICK HOSPITAL CENTER,394058,,,N,PA,701 EAST 16TH STREET,BERWICK,,COLUMBIA,,,Proprietary,Psychiatric,Northeast ,,Not Available,,,,,,No,42
BETH ISRAEL DEACONESS HOSPITAL - MILTON,220108,Beth Israel Deaconess Hospital,,N,MA,199 REEDSDALE ROAD,MILTON,2186,NORFOLK,,,Government - Federal,Acute Care Hospitals,Northeast ,RRC,5,102,,81,81,95,Yes,25
BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,220083,,,N,MA,148 CHESTNUT STREET,NEEDHAM,2494,NORFOLK,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,PPS,4,58,,58,58,54,Yes,25
BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,220060,Beth Israel Deaconess Hospital,,N,MA,275 SANDWICH STREET,PLYMOUTH,2360,PLYMOUTH,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,RRC,4,145,,155,155,133,Yes,25
BETH ISRAEL DEACONESS MEDICAL CENTER,220086,,,N,MA,330 BROOKLINE AVENUE,BOSTON,2215,SUFFOLK,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,RRC,3,694,,597,597,648,Yes,25
BETHESDA  HOSPITAL INC,100002,,,N,FL,2815 S SEACREST BLVD,BOYNTON BEACH,33435,PALM BEACH,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,PPS,2,382,,481,481,384,Yes,12
BETHESDA MEMORIAL HOSPITAL,10T002,,,N,FL,2815 SOUTH SEACREST BLVD,BOYNTON BEACH,,Palm Beach,,,Non-profit,Rehabilitation hospital,South ,,,,,,,,,12
BETHESDA NORTH,360179,,,N,OH,10500 MONTGOMERY ROAD,CINCINNATI,45242,HAMILTON,,,Voluntary non-profit - Church,Acute Care Hospitals,Midwest ,PPS,4,398,,465,465,360,Yes,39
BETHESDA REHABILITATION HOSPITAL,193092,,,N,LA,"7414 SUMRALL DRIVE, SUITE A",BATON ROUGE,70812,East Baton Rouge,,,For profit,Rehabilitation hospital,South ,,,,14,14,14,,,22
BETSY JOHNSON REGIONAL HOSPITAL,340071,,,N,NC,800 TILGHMAN DR,DUNN,28334,HARNETT,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,PPS,2,126,,108,108,131,Yes,37
BEVERLY HOSPITAL,050350,,,N,CA,309 W BEVERLY BLVD,MONTEBELLO,90640,LOS ANGELES,,,Voluntary non-profit - Private,Acute Care Hospitals,West ,PPS,3,202,,214,224,202,Yes,06
BHC ALHAMBRA HOSPITAL,054032,Universal Health Services,,N,CA,4619 N ROSEMEAD BLVD,ROSEMEAD,91770,LOS ANGELES,,,Proprietary,Psychiatric,West ,,Not Available,,97,97,97,,No,06
BHC FAIRFAX HOSPITAL,504002,Universal Health Services,,N,WA,10200 NE 132ND ST,KIRKLAND,98034,KING,,,Proprietary,Psychiatric,West ,,Not Available,,221,133,133,,No,53
BHC FREMONT HOSPITAL INC,054110,Universal Health Services,,N,CA,39001 SUNDALE DRIVE,FREMONT,94538,ALAMEDA,,,Proprietary,Psychiatric,West ,,Not Available,,148,96,96,,No,06
"BHC MESILLA VALLEY HOSPITAL, LLC",324010,Universal Health Services,,N,NM,3751 DEL REY BOULEVARD,LAS CRUCES,88012,DONA ANA,,,Proprietary,Psychiatric,West ,,Not Available,,103,120,120,,No,35
"BHC SIERRA VISTA HOSPITAL, INC",054087,Universal Health Services,,N,CA,8001 BRUCEVILLE ROAD,SACRAMENTO,95823,SACRAMENTO,,,Proprietary,Psychiatric,West ,,Not Available,,171,171,171,,No,06
BHC STREAMWOOD HOSPITAL INC,144034,Universal Health Services,,N,IL,1400 E IRVING PARK ROAD,STREAMWOOD,60107,COOK,,,Proprietary,Psychiatric,Midwest ,,Not Available,,178,178,178,,No,17
BHC WEST HILLS HOSPITAL,294003,Universal Health Services,,N,NV,1240 E NINTH ST,RENO,89512,WASHOE,,,Proprietary,Psychiatric,West ,,,,95,95,95,,No,32
BIBB MEDICAL CENTER,010058,,,N,AL,208 PIERSON AVE,CENTREVILLE,35042,BIBB,,,Government - Hospital District or Authority,Acute Care Hospitals,South ,PPS,Not Available,25,,35,35,21,Yes,01
BIENVILLE MEDICAL CENTER,191320,,,N,LA,1175 PINE STREET,ARCADIA,71001,BIENVILLE,,,Proprietary,Critical Access Hospitals,South ,CAH,Not Available,21,,21,21,,Yes,22
BIG HORN CO MEMORIAL HOSPITAL,271338,,,N,MT,17 N MILES,HARDIN,59034,BIG HORN,,,Government - Local,Critical Access Hospitals,West ,CAH,Not Available,18,,25,25,,Yes,30
BIG SANDY MEDICAL CENTER,271311,,,N,MT,166 MONTANA AVE E,BIG SANDY,59520,CHOUTEAU,,,Voluntary non-profit - Private,Critical Access Hospitals,West ,CAH,Not Available,8,,8,8,,Yes,30
BIG SKY MEDICAL CENTER,271389,,,N,MT,334 TOWN CENTER AVE,BIG SKY,59716,GALLATIN,,,Voluntary non-profit - Private,Critical Access Hospitals,West ,CAH,Not Available,1,,4,4,,Yes,30
BIG SOUTH FORK MEDICAL CENTER,440235,Rennova Health Services,,N,TN,18797 ALBERTA STREET,ONEIDA,37841,SCOTT,,,Proprietary,Acute Care Hospitals,South ,PPS,,25,,25,25,24,Yes,47
BIG SOUTH FORK MEDICAL CENTER,441323,,,N,TN,18797 ALBERTA STREET,ONEIDA,,SCOTT,,,Proprietary,Critical Access Hospitals,South ,,Not Available,,,,,,Yes,47
BIG SPRING STATE HOSPITAL,454000,,,N,TX,1901 NORTH HIGHWAY 87,BIG SPRING,79721,HOWARD,,,Voluntary non-profit - Other,Psychiatric,South ,,Not Available,,144,160,160,,No,48
BIGFORK VALLEY HOSPITAL,241316,,,N,MN,258 PINE TREE DRIVE PO BOX 258,BIGFORK,56628,ITASCA,,,Government - Hospital District or Authority,Critical Access Hospitals,Midwest ,CAH,Not Available,20,,20,20,,Yes,27
BILLINGS CLINIC,270004,,,N,MT,2800 10TH AVE N,BILLINGS,59101,YELLOWSTONE,,,Voluntary non-profit - Private,Acute Care Hospitals,West ,RRC,5,333,,304,304,293,Yes,30
BILLINGS CLINIC BROADWATER,271333,,,N,MT,110 N OAK ST,TOWNSEND,59644,BROADWATER,,,Voluntary non-profit - Private,Critical Access Hospitals,West ,CAH,Not Available,25,,9,9,,Yes,30
BINGHAM MEMORIAL HOSPITAL,131325,,,N,ID,98 POPLAR STREET,BLACKFOOT,83221,BINGHAM,,,Voluntary non-profit - Private,Critical Access Hospitals,West ,CAH,Not Available,25,,25,25,,Yes,16
BIRMINGHAM VA MEDICAL CENTER,01014F,,,N,AL,700 SOUTH 19TH STREET,BIRMINGHAM,,JEFFERSON,,,Veterans Health Administration,Acute Care - Veterans Administration,South ,,3,,,,,,Yes,01
BITTERROOT HEALTH - DALY HOSPITAL,271340,,,N,MT,1200 WESTWOOD DR,HAMILTON,59840,RAVALLI,,,Voluntary non-profit - Private,Critical Access Hospitals,West ,CAH,4,25,,25,25,,Yes,30
BLACK HILLS SURGICAL HOSPITAL LLP,430091,,,N,SD,216 ANAMARIA DR,RAPID CITY,57703,PENNINGTON,,,Proprietary,Acute Care Hospitals,Midwest ,PPS,Not Available,26,,26,26,23,No,46
BLACK RIVER MEMORIAL HOSPITAL,521333,,,N,WI,711 W ADAMS ST,BLACK RIVER FALLS,54615,JACKSON,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,3,25,,25,25,,Yes,55
BLACKBERRY CENTER - OGLETHORPE OF ORLANDO,104081,,,N,FL,91 BEEHIVE CIR,SAINT CLOUD,34769,OSCEOLA,,,Voluntary non-profit - Private,Psychiatric,South ,,Not Available,,64,64,64,,No,12
BLAKE MEDICAL CENTER,10T213,HCA Healthcare,,N,FL,2020 59TH ST W,BRADENTON,,Manatee,,,For profit,Rehabilitation hospital,South ,,,,,,,,,12
BLANCHARD VALLEY HOSPITAL,360095,,,N,OH,1900 SOUTH MAIN STREET,FINDLAY,45840,HANCOCK,,,Voluntary non-profit - Other,Acute Care Hospitals,Midwest ,RRC,3,141,,239,239,125,No,39
Blanchfield ACH (FT Campbell),18003F,,,N,KY,650 Joel Drive,Fort Campbell,42223,CHRISTIAN,,,Department of Defense,Acute Care - Department of Defense,South ,,Not Available,,,,,,Yes,21
BLECKLEY MEMORIAL HOSPITAL,111302,,,N,GA,145 PEACOCK STREET,COCHRAN,31014,BLECKLEY,,,Government - Hospital District or Authority,Critical Access Hospitals,South ,CAH,Not Available,15,,25,25,,Yes,13
BLESSING HEALTH KEOKUK,160008,,,N,IA,1600 MORGAN STREET,KEOKUK,52632,LEE,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,MDH,2,49,,71,71,48,Yes,19
BLESSING HOSPITAL,140015,,,N,IL,1005 BROADWAY ST,QUINCY,62301,ADAMS,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,SCH/RRC,4,280,,312,312,231,Yes,17
BLESSING HOSPITAL,14T015,,,N,IL,BROADWAY @ 11TH,QUINCY,,Adams,,,Non-profit,Rehabilitation hospital,Midwest ,,,,,,,,,17
"BLIANT SPECIALTY HOSPITAL, LLC",192030,,,N,LA,14500 HAYNE BLVD,NEW ORLEANS,70128,Orleans,,,For profit,LTACH,South ,,,,73,42,42,,,22
BLOOMINGTON MEADOWS HOSPITAL,154041,Universal Health Services,,N,IN,3600 N PROW RD,BLOOMINGTON,47404,MONROE,,,Proprietary,Psychiatric,Midwest ,,Not Available,,78,78,78,,No,18
BLOUNT MEMORIAL HOSPITAL,440011,,,N,TN,907 E LAMAR ALEXANDER PARKWAY,MARYVILLE,37804,BLOUNT,,,Government - Local,Acute Care Hospitals,South ,RRC,3,193,,304,304,179,Yes,47
BLUE MOUNTAIN HOSPITAL,461310,,,N,UT,802 SOUTH 200 WEST,BLANDING,84511,SAN JUAN,,,Voluntary non-profit - Private,Critical Access Hospitals,West ,CAH,Not Available,11,,11,11,,Yes,49
BLUE MOUNTAIN HOSPITAL,381305,,,N,OR,170 FORD ROAD,JOHN DAY,97845,GRANT,,,Government - Hospital District or Authority,Critical Access Hospitals,West ,CAH,Not Available,16,,25,39,,Yes,41
"BLUE RIDGE HEALTHCARE HOSPITALS, INC",340075,UNC,,N,NC,2201 S STERLING ST,MORGANTON,28655,BURKE,,,Proprietary,Acute Care Hospitals,South ,PPS,3,156,,204,204,142,Yes,37
BLUE RIDGE REGIONAL HOSPITAL,341329,HCA Healthcare,,N,NC,125 HOSPITAL DRIVE,SPRUCE PINE,28777,MITCHELL,,,Voluntary non-profit - Private,Critical Access Hospitals,South ,CAH,5,25,,85,85,,Yes,37
BLUERIDGE VISTA HEALTH AND WELLNESS,364057,NewVista Health,,N,OH,5500 VERULAM AVENUE,CINCINNATI,45213,HAMILTON,,,Proprietary,Psychiatric,Midwest ,,Not Available,,44,40,40,,No,39
BLUFFTON HOSPITAL,361322,,,N,OH,139 GARAU STREET,BLUFFTON,45817,ALLEN,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,25,,25,25,,Yes,39
BLUFFTON REGIONAL MEDICAL CENTER,150075,Community Health Systems,,N,IN,303 S MAIN ST,BLUFFTON,46714,WELLS,,,Proprietary,Acute Care Hospitals,Midwest ,RRC,4,34,,50,79,53,Yes,18
BLYTHEDALE CHILDREN'S HOSPITAL,333301,,,N,NY,95 BRADHURST AVENUE,VALHALLA,10595,WESTCHESTER,,,Voluntary non-profit - Private,Childrens,Northeast ,,Not Available,,,100,100,,No,36
BMH-GOLDEN TRIANGLE,250100,,,N,MS,2520 5TH STREET N,COLUMBUS,39705,LOWNDES,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,RRC,3,159,,328,328,160,Yes,28
BOB WILSON MEMORIAL GRANT COUNTY HOSPITAL,170110,Centura Health,,N,KS,415 N MAIN STREET,ULYSSES,67880,GRANT,,,Proprietary,Acute Care Hospitals,Midwest ,SCH,Not Available,26,,45,45,23,Yes,20
BOCA RATON REGIONAL HOSPITAL,100168,,,N,FL,800 MEADOWS RD,BOCA RATON,33486,PALM BEACH,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,PPS,2,370,,400,400,340,Yes,12
BOGALUSA REHABILITATION HOSPITAL,713026,,,N,LA,621 COLUMBIA STREET,BOGALUSA,70427,WASHINGTON,,,For profit,Rehabilitation hospital,South ,,,,10,11,11,,,22
BOISE VA MEDICAL CENTER,13003F,,,N,ID,500 W. FORT STREET,BOISE,,ADA,,,Veterans Health Administration,Acute Care - Veterans Administration,West ,,5,,,,,,Yes,16
BON SECOUR ST. FRANCIS INPATIENT REHAB CENTER,42T023,,,N,SC,1 ST. FRANCIS DRIVE,GREENVILLE,,Greenville,,,Non-profit,Rehabilitation hospital,South ,,,,,,,,,45
BON SECOURS COMMUNITY HOSPITAL,330135,,,N,NY,160 EAST MAIN STREET,PORT JERVIS,12771,ORANGE,,,Voluntary non-profit - Church,Acute Care Hospitals,Northeast ,PPS,3,98,,141,141,96,Yes,36
BON SECOURS DEPAUL MEDICAL CENTER,490011,Bon Secours,,N,VA,150 KINGSLEY LANE,NORFOLK,23505,,,,,,South ,PPS,,138,,204,204,116,,51
